feature,importance
zip_code_065xx,0.0
zip_code_030xx,0.0
zip_code_032xx,0.0
zip_code_033xx,0.0
zip_code_034xx,0.0
zip_code_035xx,0.0
zip_code_037xx,0.0
zip_code_038xx,0.0
zip_code_040xx,0.0
zip_code_041xx,0.0
zip_code_050xx,0.0
zip_code_051xx,0.0
zip_code_052xx,0.0
zip_code_053xx,0.0
zip_code_054xx,0.0
zip_code_056xx,0.0
zip_code_057xx,0.0
zip_code_058xx,0.0
zip_code_060xx,0.0
zip_code_061xx,0.0
zip_code_062xx,0.0
zip_code_063xx,0.0
zip_code_245xx,0.0
zip_code_246xx,0.0
zip_code_247xx,0.0
zip_code_443xx,0.0
zip_code_433xx,0.0
zip_code_434xx,0.0
zip_code_435xx,0.0
zip_code_436xx,0.0
zip_code_437xx,0.0
zip_code_438xx,0.0
zip_code_439xx,0.0
zip_code_440xx,0.0
zip_code_441xx,0.0
zip_code_442xx,0.0
zip_code_444xx,0.0
zip_code_457xx,0.0
zip_code_445xx,0.0
zip_code_446xx,0.0
zip_code_447xx,0.0
zip_code_448xx,0.0
zip_code_449xx,0.0
zip_code_450xx,0.0
zip_code_451xx,0.0
zip_code_452xx,0.0
zip_code_453xx,0.0
zip_code_454xx,0.0
zip_code_431xx,0.0
zip_code_427xx,0.0
zip_code_426xx,0.0
zip_code_425xx,0.0
zip_code_396xx,0.0
zip_code_398xx,0.0
zip_code_400xx,0.0
zip_code_401xx,0.0
zip_code_403xx,0.0
zip_code_404xx,0.0
zip_code_405xx,0.0
zip_code_406xx,0.0
zip_code_407xx,0.0
zip_code_408xx,0.0
zip_code_409xx,0.0
zip_code_411xx,0.0
zip_code_412xx,0.0
zip_code_413xx,0.0
zip_code_415xx,0.0
zip_code_416xx,0.0
zip_code_418xx,0.0
zip_code_420xx,0.0
zip_code_422xx,0.0
zip_code_423xx,0.0
zip_code_424xx,0.0
zip_code_455xx,0.0
zip_code_458xx,0.0
zip_code_249xx,0.0
zip_code_534xx,0.0
zip_code_492xx,0.0
zip_code_493xx,0.0
zip_code_494xx,0.0
zip_code_495xx,0.0
zip_code_496xx,0.0
zip_code_497xx,0.0
zip_code_498xx,0.0
zip_code_499xx,0.0
zip_code_527xx,0.0
zip_code_532xx,0.0
zip_code_535xx,0.0
zip_code_460xx,0.0
zip_code_537xx,0.0
zip_code_538xx,0.0
zip_code_539xx,0.0
zip_code_542xx,0.0
zip_code_543xx,0.0
zip_code_544xx,0.0
zip_code_545xx,0.0
zip_code_546xx,0.0
zip_code_547xx,0.0
zip_code_548xx,0.0
zip_code_491xx,0.0
zip_code_490xx,0.0
zip_code_489xx,0.0
zip_code_487xx,0.0
zip_code_461xx,0.0
zip_code_463xx,0.0
zip_code_464xx,0.0
zip_code_465xx,0.0
zip_code_466xx,0.0
zip_code_467xx,0.0
zip_code_468xx,0.0
zip_code_469xx,0.0
zip_code_470xx,0.0
zip_code_471xx,0.0
zip_code_472xx,0.0
zip_code_473xx,0.0
zip_code_474xx,0.0
zip_code_475xx,0.0
zip_code_476xx,0.0
zip_code_477xx,0.0
zip_code_478xx,0.0
zip_code_479xx,0.0
zip_code_481xx,0.0
zip_code_484xx,0.0
zip_code_485xx,0.0
zip_code_395xx,0.0
zip_code_394xx,0.0
zip_code_392xx,0.0
zip_code_290xx,0.0
zip_code_279xx,0.0
zip_code_280xx,0.0
zip_code_281xx,0.0
zip_code_282xx,0.0
zip_code_283xx,0.0
zip_code_284xx,0.0
zip_code_285xx,0.0
zip_code_287xx,0.0
zip_code_288xx,0.0
zip_code_289xx,0.0
zip_code_291xx,0.0
zip_code_388xx,0.0
zip_code_293xx,0.0
zip_code_298xx,0.0
zip_code_299xx,0.0
zip_code_301xx,0.0
zip_code_302xx,0.0
zip_code_303xx,0.0
zip_code_304xx,0.0
zip_code_307xx,0.0
